model,horizon_h,MAE,RMSE,R2,PI90_Coverage,seed,cutoff_index
ARIMA,3,16.853229195421637,17.982160918089043,-6.239360700389157,,12,95705
ARIMA,6,22.296437417248416,23.39514292507324,-7.855720291885733,,12,95705
ARIMA,12,26.94484326291163,27.80977961467512,-10.47288279377966,,12,95705
BiLSTM-Hybrid,3,22.757026981644074,23.940421026445833,-11.831576692316938,,12,95705
BiLSTM-Hybrid,6,23.28752369757971,24.140163135362563,-8.428723210457994,,12,95705
BiLSTM-Hybrid,12,13.696983057010938,17.5556948133655,-3.572076700806024,,12,95705
DiffSTG,3,21.447132702982287,22.75671998349529,-10.594066516579417,0.0,12,95705
DiffSTG,6,31.061529607683052,33.166377776139534,-16.79789219434862,0.0,12,95705
DiffSTG,12,40.763990990420524,42.72334241348093,-26.077458960034356,0.0,12,95705
ARIMA,3,15.327570897153377,16.255206659262058,-0.36201929657380183,,13,88642
ARIMA,6,12.450249881108135,13.360097171776802,-0.8151748790439168,,13,88642
ARIMA,12,10.600071772414939,12.374402602783574,-1.1316822242567546,,13,88642
BiLSTM-Hybrid,3,8.148305561736619,8.878347608079888,0.593685277062382,,13,88642
BiLSTM-Hybrid,6,15.195984955198997,17.487830462667144,-2.110076755501582,,13,88642
BiLSTM-Hybrid,12,22.08849753150839,24.418115220497842,-7.300385395659049,,13,88642
DiffSTG,3,18.375168532786336,19.79617421798951,-1.0200438848917144,0.0,13,88642
DiffSTG,6,18.19011845239906,18.930717561353106,-2.6444617022480297,0.3333333333333333,13,88642
DiffSTG,12,15.47755867792589,16.70293201044129,-2.8838227992402468,0.5,13,88642
ARIMA,3,6.404312269924387,6.676668240401451,-15.71671204714453,,14,83655
ARIMA,6,9.008201570109613,9.534666132113763,-11.166375081901784,,14,83655
ARIMA,12,8.94134257970867,9.640264705759973,-5.941181181527739,,14,83655
BiLSTM-Hybrid,3,3.7341827974213566,4.369394484035082,-6.159353058918575,,14,83655
BiLSTM-Hybrid,6,10.799285365358452,13.176026143618863,-22.233739545515974,,14,83655
BiLSTM-Hybrid,12,17.305392262278726,19.418781785478895,-27.164330077082337,,14,83655
DiffSTG,3,4.191093566016023,4.522304357316291,-6.669213762575718,1.0,14,83655
DiffSTG,6,5.314256187375288,6.030531035049573,-3.8669998673942683,1.0,14,83655
DiffSTG,12,5.832113919709012,7.136671128594723,-2.804055379082633,1.0,14,83655
ARIMA,3,4.43068434988318,4.5809024532063605,-2.372535813788009,,15,87002
ARIMA,6,6.369140698563267,6.835808760783906,-0.844537424237237,,15,87002
ARIMA,12,13.299160226328114,17.023419754116368,-0.8141434638080631,,15,87002
BiLSTM-Hybrid,3,17.775830000851375,18.03166649836099,-51.25480304237548,,15,87002
BiLSTM-Hybrid,6,15.5626663741525,16.214479509794,-9.378000491060373,,15,87002
BiLSTM-Hybrid,12,23.13801577520606,27.335237246949518,-3.6776067525961986,,15,87002
DiffSTG,3,8.400830515682017,8.714628692628418,-11.205406772382903,0.6666666666666666,15,87002
DiffSTG,6,15.4804235678883,17.54641928442624,-11.15303275150862,0.8333333333333334,15,87002
DiffSTG,12,14.529258757075999,17.43537579739606,-0.9030081034771593,0.9166666666666666,15,87002
ARIMA,3,12.276092959951933,12.479779082706566,-16.970563763826192,,16,92001
ARIMA,6,21.700183251974494,24.19659175499354,-3.0223476893285444,,16,92001
ARIMA,12,27.271881313133463,29.044489122602112,-5.022302224410547,,16,92001
BiLSTM-Hybrid,3,4.702355779495027,4.906148867465459,-1.77734192804607,,16,92001
BiLSTM-Hybrid,6,11.478645198365774,13.970430127507344,-0.34088264238785015,,16,92001
BiLSTM-Hybrid,12,14.574593952148255,16.420660596416525,-0.9249360763903476,,16,92001
DiffSTG,3,18.2388120218214,19.201919422353736,-41.543889557988344,0.6666666666666666,16,92001
DiffSTG,6,29.528212932463248,32.27619920459338,-6.157081920497217,0.3333333333333333,16,92001
DiffSTG,12,39.72299257906422,42.10594348469112,-11.656740302909341,0.4166666666666667,16,92001
ARIMA,3,2.094263848379604,2.4056381987817286,-1.0032252419592385,,17,97259
ARIMA,6,1.7642459677320694,2.208720192077891,-0.36142648006305,,17,97259
ARIMA,12,2.8809315469767256,3.5926866244250992,-3.3024657271076716,,17,97259
BiLSTM-Hybrid,3,5.688885710071443,6.088710284213949,-11.832751397147476,,17,97259
BiLSTM-Hybrid,6,7.684957450509003,8.146086674696386,-17.51871482186029,,17,97259
BiLSTM-Hybrid,12,13.061437684877186,17.424858194238993,-100.20856102977928,,17,97259
DiffSTG,3,1.2511441287608038,1.6043524179792934,0.10901845655061349,1.0,17,97259
DiffSTG,6,2.2251684712491775,2.629348953152695,-0.9293421164963271,1.0,17,97259
DiffSTG,12,3.337990348029553,3.9954338607599915,-4.321163911902497,1.0,17,97259
ARIMA,3,5.765843301746209,5.937344174528222,-38.65856282765474,,18,86094
