model,horizon_h,MAE,RMSE,R2,PI90_Coverage,seed,cutoff_index
BiLSTM-Hybrid,6,9.12553272188004,9.750115528838515,-4.440907951868245,,26,86798
BiLSTM-Hybrid,12,16.886444826053076,19.071441043015895,-6.798639121179467,,26,86798
DiffSTG,3,13.251923225596748,13.335211422188593,-27.579478090539677,0.0,26,86798
DiffSTG,6,11.710852275213155,12.077936078269108,-7.349054748469259,0.3333333333333333,26,86798
DiffSTG,12,13.364302637274696,14.054756337409508,-3.235439145528469,0.5833333333333334,26,86798
ARIMA,3,0.6530642447739344,0.902414723984843,-2.664585503290882,,27,95879
ARIMA,6,3.137157841584117,4.334875616596,0.1293677245702599,,27,95879
ARIMA,12,6.326502930550476,7.675107236504779,-0.309050468707734,,27,95879
BiLSTM-Hybrid,3,5.141798204480948,6.802589988475769,-207.23853748089843,,27,95879
BiLSTM-Hybrid,6,7.129072103869955,8.06489670006951,-2.01355484707917,,27,95879
BiLSTM-Hybrid,12,7.150453732297919,7.839068334562909,-0.36557760786548665,,27,95879
DiffSTG,3,18.917976040308382,18.98970484598487,-1621.7400056192953,0.0,27,95879
DiffSTG,6,12.82407968812084,14.610900627677617,-8.890891914372364,0.3333333333333333,27,95879
DiffSTG,12,10.958853631100558,12.490322240992315,-2.4668477707517167,0.6666666666666666,27,95879
ARIMA,3,7.960967343163201,8.571129565292107,-5.746717941073676,,28,83856
ARIMA,6,8.715756505477257,9.324967217155788,-6.114501112811556,,28,83856
ARIMA,12,11.063666748304428,12.112108145133366,-4.611344055377879,,28,83856
BiLSTM-Hybrid,3,5.228289839582875,6.3687017278023275,-2.7249311763205215,,28,83856
BiLSTM-Hybrid,6,6.732726089027303,7.786128425725644,-3.96012875233669,,28,83856
BiLSTM-Hybrid,12,16.435792984329954,20.440765552973044,-14.981654308698426,,28,83856
DiffSTG,3,6.165242835085543,6.865920841675569,-3.329263479973414,0.6666666666666666,28,83856
DiffSTG,6,7.878879901809758,8.41473726029869,-4.79336571307938,0.6666666666666666,28,83856
DiffSTG,12,9.033035820154948,9.679844817575736,-2.583968700336931,0.8333333333333334,28,83856
ARIMA,3,2.6143175859501118,3.05953950734113,-13.041172995471808,,29,98115
ARIMA,6,5.799164165288123,7.323118758909057,-9.269204579016417,,29,98115
ARIMA,12,14.069824837197949,16.868218716964275,-33.14441632200126,,29,98115
BiLSTM-Hybrid,3,77.32423589667798,77.53112932325158,-9015.614021208141,,29,98115
BiLSTM-Hybrid,6,99.554965769145,102.4994098589026,-2010.811940272547,,29,98115
BiLSTM-Hybrid,12,110.52596093849648,112.88281150433663,-1528.1034959748315,,29,98115
DiffSTG,3,150.79840140664598,151.30022187099553,-34336.63570731871,0.0,29,98115
DiffSTG,6,125.8053081574609,128.7373587006837,-3172.6120792990746,0.0,29,98115
DiffSTG,12,102.59109461250223,106.95280785033366,-1371.6683728484468,0.0,29,98115
ARIMA,3,12.249306689651613,14.030163581029566,-13.060392150746312,,30,97819
ARIMA,6,15.133739125772856,16.772394884976247,-4.153830171192257,,30,97819
ARIMA,12,14.406266583910616,15.472449389803081,-0.7791661528325018,,30,97819
BiLSTM-Hybrid,3,21.249932929464986,23.22413241669395,-37.52573760772392,,30,97819
BiLSTM-Hybrid,6,32.906711814001916,35.57046538646934,-22.180299379725437,,30,97819
BiLSTM-Hybrid,12,44.39887804408729,47.43863600675708,-15.724870087228986,,30,97819
DiffSTG,3,81.45363470480692,81.49103165752904,-473.3420171863143,0.0,30,97819
DiffSTG,6,73.49237547646582,74.52853924671315,-100.76188999539902,0.0,30,97819
DiffSTG,12,55.121272740493566,58.8416235708545,-24.731651511219862,0.25,30,97819
